id,source_platform,title,source_url,authority_tier,severity_estimated,severity_analysis_label,severity_review_status,severity_review_reason,severity_source,impact_type,reachability,blast_radius,root_cause,attack_path,label,severity_why
4f09bedbf1707694,lodestar,Implement Kintsugi specs :tea: (the Merge November sprint PR),https://github.com/ChainSafe/lodestar/pull/3418,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,malicious_attestation,fork-choice,
7482623489bc990c,lodestar,feat: eip-8025 optional execution proofs,https://github.com/ChainSafe/lodestar/pull/8918,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,malicious_p2p_message,beacon-chain:justification-and-finality,
dc7e3fa111ce0e2a,lodestar,rename random to prevRandao as per the kiln v2 specs,https://github.com/ChainSafe/lodestar/pull/3787,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,consensus_divergence,crafted_state,beacon-chain:execution-payload,
b89b66ccf953baca,nimbus,2 changes getting us closer to interop,https://github.com/status-im/nimbus-eth2/pull/918,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,serialization_bug,malicious_attestation,beacon-chain:attestation,
b1a6e88b2f095f12,reth,feat(trie): geth-compatible zero hashes for non-existent accounts in eth_getProof,https://github.com/paradigmxyz/reth/pull/24360,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,malformed_input,rpc,
f960a5728e79e59b,reth,feat: Check CL/Reth capability compatibility,https://github.com/paradigmxyz/reth/pull/20348,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,consensus_divergence,malformed_input,engine-api,
511d306991f1f534,erigon,EIP-7928: Add BAL max items cap and slot uniqueness validation (#19627),https://github.com/erigontech/erigon/commit/d38aee12149854e2f9da2c55acd345bf48cf8470,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,missing_input_validation,crafted_state,gas,"Missing EIP-7928 validation of BAL size and slot uniqueness causes this client to accept blocks that other clients reject, leading to a network-scale chain split."
02b6b0457e294628,geth,rlp: fix list bounds check overflow (found by go-fuzz),https://github.com/ethereum/go-ethereum/pull/820,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,missing_bounds_check,malformed_input,rlp,"A malformed RLP packet can trigger a panic/crash in a dominant client (45-55% market share), bringing down >33% of the network."
08c1cedc48562681,geth,"cmd, core, tests: avoid hashing the code in the VM",https://github.com/ethereum/go-ethereum/pull/3067,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,resource_exhaustion,crafted_state,sync,"A single transaction can cause resource exhaustion in the dominant client, potentially bringing down >33% of the network."
204dd28eca18ee54,geth,rlp: input limit and other corrections,https://github.com/ethereum/go-ethereum/pull/711,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,integer_overflow_underflow,malicious_p2p_message,transactions,A remote P2P message causing an integer overflow/panic in a dominant client (>45%) crashes a large enough portion of the network to meet the High severity threshold.
2c3bbe2fa018f083,geth,triedb/pathdb: fix state revert on v2 history,https://github.com/ethereum/go-ethereum/pull/31060,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,consensus_divergence,crafted_state,state-trie,A single crafted transaction causing a panic in a client with >33% market share takes down a significant portion of the network.
2ea9db0643f8dedc,geth,les: add Skip overflow check to GetBlockHeadersMsg handler,https://github.com/ethereum/go-ethereum/pull/16891,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,integer_overflow_underflow,malicious_p2p_message,p2p,"A single malicious P2P packet triggers an integer overflow that can crash a dominant client (~50% share), potentially bringing down >33% of the network."
4830cc6fb225c6e9,geth,core/txpool/blobpool: continue on cell proof error in `GetBlobs`,https://github.com/ethereum/go-ethereum/pull/34891,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,missing_bounds_check,malformed_input,blobs,"A single malformed blob proof in the pool can crash the blob retrieval process for the dominant client, potentially taking down >33% of the network."
506b2e76b64fe2c6,geth,"core/txpool/blobpool: revert #29989, WLock on Nonce",https://github.com/ethereum/go-ethereum/pull/30142,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,race_condition,crafted_state,blobs,"A race condition in the txpool triggered by a remote transaction can crash the dominant client, potentially taking down >33% of the network."
5106a70e2cbfc8ad,geth,core/types: ensure receipts EncodeIndex writes + support blobtx-receipts,https://github.com/ethereum/go-ethereum/pull/27470,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,improper_state_update,crafted_state,blobs,"A crafted blob transaction causes a panic during receipt encoding, crashing a dominant client (>33% share) and thus bringing down a significant portion of the network."
52a5bdbc45335d58,geth,"p2p/msgrate: return capacity as integer, clamp to max uint32 (#22943)",https://github.com/ethereum/go-ethereum/commit/427175153c0e33a7f640f86bf2ce4c97f03ede72,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,integer_overflow_underflow,malicious_p2p_message,sync,"Integer overflow in p2p rate limiting can be triggered by a remote peer to crash the client; since this client has >33% market share, it meets the High severity threshold for liveness DOS."
5a3a43e849df6028,geth,core: force import known but rolled back blocks,https://github.com/ethereum/go-ethereum/pull/16068,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,other,malicious_block,block-processing,"A malicious block sequence can cause the dominant client to stall its block height, potentially bringing down >33% of the network."
61ef89e2ab534b32,geth,eth/fetcher: fix announcement drop logic,https://github.com/ethereum/go-ethereum/pull/32210,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,integer_overflow_underflow,malformed_input,test,"A single malformed network packet can crash the dominant client, which accounts for >33% of the network nodes."
68c6fd5ad6068940,geth,downloader: fix edgecase where returned index is OOB for downloader,https://github.com/ethereum/go-ethereum/pull/18335,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,missing_bounds_check,malformed_input,sync,"A remote attacker can send malformed blocks to trigger an OOB panic in Geth; since Geth has >33% market share, this constitutes a High severity DoS."
6e4047afe19e1248,geth,trie: fix range prover,https://github.com/ethereum/go-ethereum/pull/22210,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,missing_input_validation,crafted_state,state-trie,"A crafted range proof can crash the dominant execution client, bringing down >33% of the network."
6fb978f0fdf9b0f0,geth,params: add osaka blob schedule,https://github.com/ethereum/go-ethereum/pull/31174,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,consensus_divergence,malformed_input,blobs,A crash in blob schedule calculations for the dominant client during a fork transition would bring down >33% of the network.
76a0220550bc0219,geth,core/state/snapshot: fix race condition (#24685),https://github.com/ethereum/go-ethereum/commit/86d547707965685cef732aa28c15e6811ea98408,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,race_condition,crafted_state,sync,Race conditions in snap sync on a dominant client can be triggered by remote peers to crash >33% of the network's execution nodes.
78dc88cabdf32dd2,geth,p2p/discover: fix nil-dereference due to race,https://github.com/ethereum/go-ethereum/pull/19562,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,unhandled_error_or_nil,malicious_p2p_message,p2p,"A remote p2p message triggering a panic in the dominant client crashes nodes, potentially bringing down >33% of the network."
79a5734dcb98024d,geth,trie: fix delete bug for values contained in fullNode,https://github.com/ethereum/go-ethereum/pull/3062,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,consensus_divergence,malformed_input,state-trie,A single transaction triggering a crash in the dominant client (>33% market share) causes a network-scale DOS.
7dce34f9c4b9981e,geth,eth/fetcher: fix announcement drop logic (#32210),https://github.com/ethereum/go-ethereum/commit/e9e12a97d27ccaa3a11b80f03b897a515ed44aa2,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,integer_overflow_underflow,malformed_input,test,"A single malformed network packet can cause a runtime panic and crash the node; since this client is dominant (>33%), it meets the High severity threshold for bringing down >33% of the network."
83cccb979a249f1e,geth,core/txpool: implement additional DoS defenses (#26648),https://github.com/ethereum/go-ethereum/commit/6cf2e921a79c2ac914f8b413f3c689919a60110f,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,resource_exhaustion,malformed_input,txpool,"The fix addresses a DoS vulnerability in the txpool of a dominant client; since a single tx could crash >33% of the network's execution nodes, it maps to High."
956db92119294822,geth,core/state: filter out nil trie for copy,https://github.com/ethereum/go-ethereum/pull/25575,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,resource_exhaustion,crafted_state,state-trie,A panic in the dominant client (~45-55%) triggered by a single transaction would bring down >33% of the network.
971ef37281f9fe0d,geth,eth/downloader: fix header download limiting,https://github.com/ethereum/go-ethereum/pull/2265,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,resource_exhaustion,malformed_input,sync,"A remote peer can trigger an OOM crash via malformed sync requests, potentially taking down >33% of the network given this client's dominance."
97c9bce9f70dd28d,geth,core/vm/runtime: Add Random field to config,https://github.com/ethereum/go-ethereum/pull/28001,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,unhandled_error_or_nil,malformed_input,opcodes,"A single transaction triggering the RANDOM opcode causes a nil pointer crash in a dominant client (>33% share), leading to a network-scale DoS."
9d281cd7385d8958,geth,core/state: fix trie prefetcher for verkle,https://github.com/ethereum/go-ethereum/pull/30354,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,resource_exhaustion,crafted_state,state-trie,"A single crafted transaction causing a panic in the dominant client (~45-55%) would crash a plurality of the network, meeting the High severity threshold."
9dceecc674483c76,geth,core/stateless: fix parsing an empty witness,https://github.com/ethereum/go-ethereum/pull/34683,C_candidate,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,missing_input_validation,crafted_state,state-trie,A single crafted empty witness packet can crash a dominant client representing >33% of the network.
ab4b3b42313daaa5,geth,consensus/ethash: use 64bit indexes for the DAG generation,https://github.com/ethereum/go-ethereum/pull/21793,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,integer_overflow_underflow,malicious_block,sync,Integer overflow in the consensus-critical Ethash DAG generation would cause a dominant client (>33%) to diverge from the network upon reaching a specific DAG size.
b1c9a13d15ccd608,geth,core: place a cap on reorglogs,https://github.com/ethereum/go-ethereum/pull/25711,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,resource_exhaustion,large_input,test,"OOM during chain reorgs can crash the dominant client, potentially taking down >33% of the network."
bad60eea57269a6f,geth,trie/database: fix overflow in parent tracking,https://github.com/ethereum/go-ethereum/pull/18165,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,integer_overflow_underflow,crafted_state,state-trie,"Overflow in Geth's trie cache can be triggered by crafted on-chain state, crashing the dominant client and taking down >33% of the network."
c9009154ce692582,geth,triedb/pathdb: fix incorrect address length in history searching,https://github.com/ethereum/go-ethereum/pull/32248,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,missing_bounds_check,crafted_state,database,A crafted transaction causing a panic in a dominant client's database reader would crash >33% of the network nodes.
cd61542cfa31ee40,geth,"trie, tests/fuzzers: implement a stacktrie fuzzer + stacktrie fixes",https://github.com/ethereum/go-ethereum/pull/21799,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,consensus_divergence,crafted_state,state-trie,Consensus divergence in the state trie implementation of a dominant client leads to a chain split affecting >33% of the network via a crafted transaction.
d0578666c1aa52dd,geth,core/state: handle *bintrie.BinaryTrie in mustCopyTrie,https://github.com/ethereum/go-ethereum/pull/34758,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,improper_state_update,crafted_state,state-trie,"A crafted transaction triggering a state snapshot on a node using UBT-backed database would cause a panic, potentially crashing >33% of the network due to this client's dominance."
dfd772660d2f7eb3,geth,trie/bintrie: fix GetAccount/GetStorage non-membership — verify stem before returning values,https://github.com/ethereum/go-ethereum/pull/34690,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,missing_input_validation,malformed_input,state-trie,"A single transaction can trigger a panic in the state trie logic, crashing >33% of the network due to the client's dominant market share."
e3d937838aebd040,geth,core/stateless: cap witness depth metrics buckets,https://github.com/ethereum/go-ethereum/pull/33389,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,missing_bounds_check,crafted_state,state-trie,"A crafted witness triggers a panic in the dominant client's statistics collection, potentially bringing down >33% of the network."
e4eecf24a4501ff6,geth,eth/fetcher: throttle peers which deliver many invalid transactions,https://github.com/ethereum/go-ethereum/pull/25573,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,resource_exhaustion,malicious_p2p_message,transactions,"A remote P2P attack could DoS the dominant client, potentially bringing down >33% of the network."
e84e13f52af9dacd,geth,eth/protocols/eth: Fix overflows in  `GetBlockHeaders`,https://github.com/ethereum/go-ethereum/pull/31522,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,integer_overflow_underflow,malformed_input,p2p,"A single malformed P2P packet can crash a dominant client, potentially taking down >33% of the network nodes."
ea018c4d04c6a290,geth,"core/state, eth, trie: stabilize memory use, fix memory leak",https://github.com/ethereum/go-ethereum/commit/d8da0b3d81d6623e0e500de11f50c2858e1fb9e7,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,resource_exhaustion,crafted_state,sync,A crafted state root can trigger OOM crashes in the dominant client (>33% market share) during state sync via a remote trigger.
eceadd9c7892558a,geth,consensus/ethash: improve cache/dataset handling,https://github.com/ethereum/go-ethereum/pull/15864,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,consensus_divergence,malformed_input,test,A remote trigger causing a crash in the consensus ethash logic for a dominant client (>45%) results in a network-scale liveness failure affecting >33% of nodes.
f2c52d056567b78e,geth,"cmd, core, eth, trie: get rid of trie cache generations",https://github.com/ethereum/go-ethereum/pull/19262,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,resource_exhaustion,crafted_state,sync,"An attacker can use a single transaction to trigger OOM in the dominant client (>33% of network), leading to a widespread liveness failure."
fef6b529d2c24653,geth,core/vm: Correct the Memory Gas Overflow condition,https://github.com/ethereum/go-ethereum/pull/19348,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,chain_split,remote_single_message_or_tx,spec_level,integer_overflow_underflow,malformed_input,gas,"Incorrect gas overflow check in the EVM memory expansion logic can lead to divergent state/crashes across clients, splitting the network."
geth:ethereum-go-ethereum:PR#195,geth,fix panic on bad tx sender,https://github.com/ethereum/go-ethereum/pull/195,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,serialization_bug,malicious_tx,transactions,"A single malicious transaction causes a panic in a dominant client (>45% share), bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#19579,geth,p2p/discover: fix crash in Resolve,https://github.com/ethereum/go-ethereum/pull/19579,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,other,malicious_p2p_message,p2p,"A single malicious P2P packet causes a nil pointer dereference panic, crashing a dominant client and potentially taking down >33% of the network."
geth:ethereum-go-ethereum:PR#20013,geth,les: fix panic,https://github.com/ethereum/go-ethereum/pull/20013,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,unhandled_error_or_nil,malicious_p2p_message,p2p,"A single malicious P2P packet triggers a nil pointer panic, crashing the dominant client and thus bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#20948,geth,snapshot: add Unlock before return/panic,https://github.com/ethereum/go-ethereum/pull/20948,B_corroborated,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,improper_state_update,crafted_state,state-trie,"A crafted transaction triggering these paths causes a deadlock in Geth, which represents >33% of the network, leading to a massive liveness failure."
geth:ethereum-go-ethereum:PR#22540,geth,[core] Race condition on diffLayer,https://github.com/ethereum/go-ethereum/pull/22540,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,unhandled_error_or_nil,crafted_state,state-trie,"A single transaction triggering this panic would crash the dominant client (~45-55% of nodes), bringing down >33% of the network."
geth:ethereum-go-ethereum:PR#22575,geth,Security disclosures,https://github.com/ethereum/go-ethereum/pull/22575,C_candidate,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,missing_bounds_check,malicious_tx,opcodes,"A single malicious transaction triggers a panic in the dominant client (>33% market share), causing widespread node crashes and network-scale liveness failure."
geth:ethereum-go-ethereum:PR#23047,geth,core/vm: evm fix panic,https://github.com/ethereum/go-ethereum/pull/23047,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,unhandled_error_or_nil,malformed_input,gas,"A single transaction containing the BASEFEE opcode causes a panic in a dominant client (>33% market share), leading to a network-scale DOS."
geth:ethereum-go-ethereum:PR#23955,geth,docs: vulnerability disclosure,https://github.com/ethereum/go-ethereum/pull/23955,C_candidate,High,tier-uncertain,threshold_unverified,"Exact High removed: the estimator used an unversioned static client-share prior, so >33% affected at the fix date is not evidenced.",llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,missing_input_validation,malicious_p2p_message,sync,A single p2p packet crashing the dominant client (>45% market share) would bring down >33% of the network.
geth:ethereum-go-ethereum:PR#24946,geth,core/beacon: prevent invalid logsBloom length panic,https://github.com/ethereum/go-ethereum/pull/24946,B_corroborated,High,tier-uncertain,threshold_unverified,Exact High removed: implementing a shared specification rule does not prove that other clients shared the defect or that >33% of the network was affected.,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,resource_exhaustion,malformed_input,test,"A single malformed block payload could panic a dominant client (~45-55% share), crashing >33% of the network."
