source_platform,label,root_cause,attack_path,severity,authority_tier,title,source_url
erigon,p2p,unhandled_error_or_nil,peer,Unrated,B_corroborated,anacrolix/torrent: Serve peerconn panic fix,https://github.com/erigontech/erigon/pull/20748
erigon,p2p,unhandled_error_or_nil,peer,Unrated,B_corroborated,[r3.4] anacrolix/torrent: Serve peerconn panic fix,https://github.com/erigontech/erigon/pull/20765
erigon,opcodes,resource_exhaustion,crafted_state,Unrated,B_corroborated,execution/protocol/rules/aura: don't panic on syscall failure in IsSer,https://github.com/erigontech/erigon/pull/21068
erigon,transactions,missing_input_validation,malformed_input,Unrated,B_corroborated,db/integrity: return error instead of panic on small history files,https://github.com/erigontech/erigon/pull/20632
erigon,evm,integer_overflow_underflow,malformed_input,Unrated,B_corroborated,cmd/evm: fix false panic in benchmark error comparison,https://github.com/erigontech/erigon/pull/20611
erigon,opcodes,unhandled_error_or_nil,malicious_attestation,Unrated,B_corroborated,[r3.4] cl/caplin: fix nil pointer panics in GetEthV1ValidatorAttestati,https://github.com/erigontech/erigon/pull/20600
erigon,p2p,missing_bounds_check,malformed_input,Unrated,B_corroborated,cl/sentinel: fix panic on short attnets ENR entry,https://github.com/erigontech/erigon/pull/20492
erigon,p2p,missing_bounds_check,malformed_input,Unrated,B_corroborated,[r3.4] cl/sentinel: fix panic on short attnets ENR entry,https://github.com/erigontech/erigon/pull/20493
erigon,sync,unhandled_error_or_nil,malicious_attestation,Unrated,B_corroborated,cl/beacon: fix nil pointer panics in GetEthV1ValidatorAttestationData,https://github.com/erigontech/erigon/pull/19783
erigon,state-trie,improper_state_update,crafted_state,Unrated,B_corroborated,[SharovBot] db/migrations: fix stage-exec-test panic on BlockAccessLis,https://github.com/erigontech/erigon/pull/20198
erigon,rpc,missing_bounds_check,crafted_state,Unrated,B_corroborated,rpc: unpackRevert() add process of panic(),https://github.com/erigontech/erigon/pull/19156
erigon,state-trie,integer_overflow_underflow,malicious_tx,Unrated,B_corroborated,Return error instead of panic,https://github.com/erigontech/erigon/pull/18927
erigon,state-trie,missing_bounds_check,crafted_state,Unrated,B_corroborated,GenerateWitness: Fix panic during unfold,https://github.com/erigontech/erigon/pull/18942
erigon,p2p,other,internal_only,Unrated,B_corroborated,[SharovBot] fix: replace testify/require with if+panic in sentinel tes,https://github.com/erigontech/erigon/pull/19484
erigon,transactions,missing_input_validation,malformed_input,Unrated,B_corroborated,execution/types: fix panic on invalid signature length,https://github.com/erigontech/erigon/pull/18734
erigon,other,missing_bounds_check,internal_only,Unrated,B_corroborated,Fix slice bounds panic affecting ethash benchmarks,https://github.com/erigontech/erigon/pull/18552
erigon,engine-api,unhandled_error_or_nil,malicious_block,Unrated,B_corroborated,Fix panic on `GetEthV1BeaconBlobs` (#17992),https://github.com/erigontech/erigon/pull/18232
erigon,blobs,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Fix panic on `GetEthV1BeaconBlobs`,https://github.com/erigontech/erigon/pull/17992
erigon,block-processing,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,fix(execution/builder): add panic recovery in block builder goroutine,https://github.com/erigontech/erigon/pull/18417
erigon,sync,unhandled_error_or_nil,peer,Unrated,B_corroborated,[3.3] Fix CI torrent panic,https://github.com/erigontech/erigon/pull/17941
erigon,block-processing,unhandled_error_or_nil,malicious_block,Unrated,B_corroborated,Appropriate error returning instead of panic,https://github.com/erigontech/erigon/pull/17565
erigon,state-trie,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,integration: fix panic in rebuild commitment when datadir name contain,https://github.com/erigontech/erigon/pull/17749
erigon,database,unhandled_error_or_nil,crafted_state,Unrated,C_candidate,[main] catchinn panic in index lookup,https://github.com/erigontech/erigon/pull/17053
erigon,database,missing_input_validation,crafted_state,Unrated,C_candidate,[r3.1] catchinn panic in index lookup,https://github.com/erigontech/erigon/pull/17052
erigon,sync,unhandled_error_or_nil,peer,Unrated,B_corroborated,Pull another fix for unique webseed request panic,https://github.com/erigontech/erigon/pull/16919
erigon,rpc,resource_exhaustion,malformed_input,Unrated,B_corroborated,[3.1] avoid panic in case ASSERT_ERIGON is enabled in GetReceipts,https://github.com/erigontech/erigon/pull/16937
erigon,state-trie,other,malformed_input,Unrated,C_candidate,Pull torrent fix for webseed cancellation and webseedUniqueRequestKey ,https://github.com/erigontech/erigon/pull/16879
erigon,sync,missing_bounds_check,peer,Unrated,B_corroborated,Fix panic on index out of range in torrent lib,https://github.com/erigontech/erigon/pull/16990
erigon,database,missing_bounds_check,crafted_state,Unrated,B_corroborated,[r3.0] catchinn panic in index lookup,https://github.com/erigontech/erigon/pull/16591
erigon,sync,missing_bounds_check,peer,Unrated,B_corroborated,torrent: cherry-pick from r31 to fix panic on index out of range in to,https://github.com/erigontech/erigon/pull/17190
erigon,rpc,unhandled_error_or_nil,malicious_tx,Unrated,B_corroborated,rpcdaemon:  modify Error in case of result = nil to avoid panic,https://github.com/erigontech/erigon/pull/16766
erigon,rpc,resource_exhaustion,malformed_input,Unrated,B_corroborated,rpcdaemon: fix to avoid panic()  on receipts log index when ASSERT_ERI,https://github.com/erigontech/erigon/pull/16908
erigon,state-trie,race_condition,crafted_state,Unrated,B_corroborated,tests: fix panic db closed in TestDump,https://github.com/erigontech/erigon/pull/16135
erigon,engine-api,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,txnprovider/shutter: prevent panic in TestShutterBlockBuilding,https://github.com/erigontech/erigon/pull/15792
erigon,p2p,unhandled_error_or_nil,peer,Unrated,B_corroborated,Caplin: Enable Recover panic in gossip handling,https://github.com/erigontech/erigon/pull/15834
erigon,sync,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Fix panic in debug muxxing and restore GOPPROF handler route,https://github.com/erigontech/erigon/pull/16032
erigon,sync,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Fix nil info.Length panic,https://github.com/erigontech/erigon/pull/15460
erigon,rpc,improper_state_update,crafted_state,Unrated,B_corroborated,rpcdaemon: remove check to avoid panic when access to Debug() method o,https://github.com/erigontech/erigon/pull/15933
erigon,sync,missing_input_validation,malformed_input,Unrated,B_corroborated,downloader: don't panic on caplin files,https://github.com/erigontech/erigon/pull/14313
erigon,txpool,other,malformed_input,Unrated,B_corroborated,TxPool: Fix panic in the `TransactionPool`,https://github.com/erigontech/erigon/pull/14057
erigon,block-processing,missing_input_validation,malicious_block,Unrated,B_corroborated,Fixed a panic in span fetching,https://github.com/erigontech/erigon/pull/14078
erigon,serialization,missing_bounds_check,malformed_input,Unrated,B_corroborated,Caplin: fix smol panic,https://github.com/erigontech/erigon/pull/13715
erigon,state-trie,improper_state_update,crafted_state,Unrated,B_corroborated,Fix panic,https://github.com/erigontech/erigon/pull/13270
erigon,state-trie,consensus_divergence,crafted_state,Unrated,C_candidate,allSnapshots should not panic regardlessly,https://github.com/erigontech/erigon/pull/13355
erigon,sync,missing_input_validation,internal_only,Unrated,B_corroborated,Fixed panic in running eth devnet,https://github.com/erigontech/erigon/pull/13508
erigon,block-processing,missing_input_validation,internal_only,Unrated,B_corroborated,Fixed panic on new mined block event when block download is disabled,https://github.com/erigontech/erigon/pull/13849
erigon,blobs,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Nil Pointer Dereference Panics in encodePayload() of Blob Tx,https://github.com/erigontech/erigon/pull/13559
erigon,serialization,missing_bounds_check,malformed_input,Unrated,B_corroborated,Potential Out-of-Range Panic in UnmarshalJSON() of HexOrDecimal256,https://github.com/erigontech/erigon/pull/13548
erigon,serialization,missing_input_validation,malformed_input,Unrated,B_corroborated,backport Potential Out-of-Range Panic in UnmarshalJSON() of HexOrDecim,https://github.com/erigontech/erigon/pull/13551
erigon,rpc,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,caplin: Fix `nil` panic during error handling,https://github.com/erigontech/erigon/pull/13333
erigon,other,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,backend: fix interface conversion: chain.BorConfig is nil panic,https://github.com/erigontech/erigon/pull/13452
erigon,sync,race_condition,malicious_p2p_message,Unrated,B_corroborated,Fix panic on concurrent map rw,https://github.com/erigontech/erigon/pull/12714
erigon,state-trie,missing_input_validation,crafted_state,Unrated,B_corroborated,Caplin: Fixed panic on `--caplin.archive`,https://github.com/erigontech/erigon/pull/12533
erigon,rpc,resource_exhaustion,malformed_input,Unrated,B_corroborated,Fix panic: runtime error: negative shift amount on eliasfano reverse i,https://github.com/erigontech/erigon/pull/12520
erigon,state-trie,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,avoid panic when closing segmentsRotx,https://github.com/erigontech/erigon/pull/11956
erigon,state-trie,resource_exhaustion,malformed_input,Unrated,B_corroborated,Fixed panic of `.idx` during merge of historical `.idxes`,https://github.com/erigontech/erigon/pull/12133
erigon,state-trie,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,fix panic issue in initializeStateAntiquaryIfNeeded,https://github.com/erigontech/erigon/pull/11608
erigon,state-trie,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,fix panic issue in initializeStateAntiquaryIfNeeded (#11608),https://github.com/erigontech/erigon/pull/11624
erigon,state-trie,resource_exhaustion,malformed_input,Unrated,B_corroborated,polygon/bor: fix panic in BorRoSnapshots checkpoint funcs when waypoin,https://github.com/erigontech/erigon/pull/11957
erigon,state-trie,consensus_divergence,malformed_input,Unrated,B_corroborated,Caplin: Fixed nil panic in antiquary initizialization and indexing,https://github.com/erigontech/erigon/pull/11665
erigon,rpc,missing_bounds_check,malformed_input,Unrated,B_corroborated,e3: eth_getLogs panic fix,https://github.com/erigontech/erigon/pull/11337
erigon,state-trie,missing_input_validation,malformed_input,Unrated,B_corroborated,Fix panic in caplin api get validator (#11419),https://github.com/erigontech/erigon/pull/11583
erigon,sync,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,stagedsync: Fix nil panic on custom chains,https://github.com/erigontech/erigon/pull/11495
erigon,state-trie,missing_input_validation,malformed_input,Unrated,B_corroborated,Fix panic in caplin api get validator,https://github.com/erigontech/erigon/pull/11419
erigon,state-trie,resource_exhaustion,malformed_input,Unrated,B_corroborated,snapcfg:  should not panic on empty network name,https://github.com/erigontech/erigon/pull/11496
erigon,database,unhandled_error_or_nil,malicious_tx,Unrated,B_corroborated,fix of panic,https://github.com/erigontech/erigon/pull/10942
erigon,database,resource_exhaustion,crafted_state,Unrated,B_corroborated,stagedsync: fix astrid sync stage panic due to unintentionally committ,https://github.com/erigontech/erigon/pull/11629
erigon,state-trie,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,fix panic due to nil validator set,https://github.com/erigontech/erigon/pull/11260
erigon,block-processing,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,chainReader: no panic,https://github.com/erigontech/erigon/pull/10732
erigon,sync,race_condition,peer,Unrated,B_corroborated,Fixes for torrent connection races and panic,https://github.com/erigontech/erigon/pull/11009
erigon,state-trie,other,malformed_input,Unrated,B_corroborated,`capcli check-snapshots` fix panic after optimistic read,https://github.com/erigontech/erigon/pull/10885
erigon,state-trie,resource_exhaustion,crafted_state,Unrated,B_corroborated,agg: logStat to `log.Warn` instead of panic,https://github.com/erigontech/erigon/pull/10567
erigon,state-trie,resource_exhaustion,crafted_state,Unrated,B_corroborated,Fix nil check causing panic during files merge,https://github.com/erigontech/erigon/pull/10411
erigon,crypto,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,stagedsync: polygon sync stage fix nil panic when downloading state sy,https://github.com/erigontech/erigon/pull/10469
erigon,other,unhandled_error_or_nil,internal_only,Unrated,C_candidate,diagnostics: protect Send from panic,https://github.com/erigontech/erigon/pull/9763
erigon,engine-api,missing_input_validation,crafted_state,Unrated,B_corroborated,e35: SharedDomains - to not panic,https://github.com/erigontech/erigon/pull/9618
erigon,rpc,resource_exhaustion,malformed_input,Unrated,C_candidate,turbo/jsonrpc: handle panics due to missed block==nil checks,https://github.com/erigontech/erigon/pull/9552
erigon,transactions,resource_exhaustion,malicious_p2p_message,Unrated,B_corroborated,p2p: panic in enode DB Close on shutdown (#9237),https://github.com/erigontech/erigon/pull/9240
erigon,other,resource_exhaustion,internal_only,Unrated,B_corroborated,devnet: prevent tx-leak on panic,https://github.com/erigontech/erigon/pull/8803
erigon,txpool,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Fix panic in isAgra check for txpool,https://github.com/erigontech/erigon/pull/8562
erigon,sync,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,Fixed startup panic,https://github.com/erigontech/erigon/pull/8040
erigon,state-trie,resource_exhaustion,malformed_input,Unrated,B_corroborated,Fix panic due to Borevents snapshots changes,https://github.com/erigontech/erigon/pull/8042
erigon,sync,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,tests: fix nil genesis panic,https://github.com/erigontech/erigon/pull/7979
erigon,sync,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,bor: fix panic reading total difficulty for isChainPoS,https://github.com/erigontech/erigon/pull/8032
erigon,block-processing,missing_input_validation,internal_only,Unrated,B_corroborated,Fix panic on non-block producing bor,https://github.com/erigontech/erigon/pull/7919
erigon,engine-api,race_condition,internal_only,Unrated,B_corroborated,Fixed JWT race and panic in Caplin,https://github.com/erigontech/erigon/pull/7904
erigon,txpool,other,malformed_input,Unrated,B_corroborated,--txpool.commit.every panic handling,https://github.com/erigontech/erigon/pull/7163
erigon,p2p,unhandled_error_or_nil,malicious_p2p_message,Unrated,B_corroborated,libp2p pubsub panic fix,https://github.com/erigontech/erigon/pull/6924
erigon,transactions,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,Fix nil pointer panic in tracing,https://github.com/erigontech/erigon/pull/7000
erigon,p2p,unhandled_error_or_nil,malicious_p2p_message,Unrated,B_corroborated,handle nil update return values without panic,https://github.com/erigontech/erigon/pull/6941
erigon,engine-api,resource_exhaustion,malformed_input,Unrated,B_corroborated,stop writing to closed channel panic,https://github.com/erigontech/erigon/pull/6763
erigon,p2p,race_condition,peer,Unrated,C_candidate,fixed concurenncy panics for gossip service,https://github.com/erigontech/erigon/pull/6607
erigon,engine-api,missing_input_validation,malformed_input,Unrated,B_corroborated,Fix defer order to prevent concurrent map write panic,https://github.com/erigontech/erigon/pull/6736
erigon,rpc,consensus_divergence,malformed_input,Unrated,B_corroborated,Don't panic on some AuRa transactions in the past,https://github.com/erigontech/erigon/pull/6760
erigon,rpc,missing_bounds_check,malicious_tx,Unrated,B_corroborated,vmTrace - prevent panic at stack underflow,https://github.com/erigontech/erigon/pull/6275
erigon,state-trie,improper_state_update,crafted_state,Unrated,B_corroborated,e3: panic logging,https://github.com/erigontech/erigon/pull/6072
erigon,state-trie,consensus_divergence,malformed_input,Unrated,B_corroborated,"Fix panic(""durations cannot be empty"")",https://github.com/erigontech/erigon/pull/6029
erigon,database,unhandled_error_or_nil,malformed_input,Unrated,C_candidate,add fileName to decompressor panic,https://github.com/erigontech/erigon/pull/5804
erigon,txpool,improper_state_update,crafted_state,Unrated,B_corroborated,Fix panic in txpool (due to modificatin with read lock) and snapshot …,https://github.com/erigontech/erigon/pull/5931
erigon,p2p,unhandled_error_or_nil,malicious_p2p_message,Unrated,B_corroborated,Resolve panic on ctx.done when using --experimental.lightclient,https://github.com/erigontech/erigon/pull/5670
erigon,sync,other,internal_only,Unrated,B_corroborated,added downloading to avoid user panic,https://github.com/erigontech/erigon/pull/5376
erigon,block-processing,unhandled_error_or_nil,malicious_block,Unrated,B_corroborated,fix panic when parlia consensus,https://github.com/erigontech/erigon/pull/5078
erigon,state-trie,improper_state_update,crafted_state,Unrated,B_corroborated,fixed exec22 panic (Erigon 2.2),https://github.com/erigontech/erigon/pull/5045
erigon,sync,missing_bounds_check,crafted_state,Unrated,B_corroborated,torrent: try burst limit fix panic,https://github.com/erigontech/erigon/pull/4983
erigon,state-trie,resource_exhaustion,malformed_input,Unrated,B_corroborated,rpcdaemon: start without panic when --snapshots=false,https://github.com/erigontech/erigon/pull/5043
erigon,database,missing_input_validation,crafted_state,Unrated,B_corroborated,fix panic on isPosHeaders,https://github.com/erigontech/erigon/pull/4620
erigon,state-trie,improper_state_update,crafted_state,Unrated,B_corroborated,Snapshots: don't panic after too far reset,https://github.com/erigontech/erigon/pull/4558
erigon,p2p,unhandled_error_or_nil,malicious_p2p_message,Unrated,B_corroborated,don't crush on p2p message handling panic,https://github.com/erigontech/erigon/pull/4557
erigon,state-trie,other,malformed_input,Unrated,C_candidate,SnapshotIndex: Add more context to panic,https://github.com/erigontech/erigon/pull/4245
erigon,p2p,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,Observer: fix panic on clean start (#4002),https://github.com/erigontech/erigon/pull/4017
erigon,other,unhandled_error_or_nil,internal_only,Unrated,C_candidate,do panic - to exit with correct code,https://github.com/erigontech/erigon/pull/3886
erigon,rpc,missing_input_validation,malformed_input,Unrated,B_corroborated,No need to panic,https://github.com/erigontech/erigon/pull/3694
erigon,other,unhandled_error_or_nil,internal_only,Unrated,C_candidate,"print short panic in main, but exit with error code 1",https://github.com/erigontech/erigon/pull/3902
erigon,other,unhandled_error_or_nil,internal_only,Unrated,C_candidate,"print short panic in main, but exit with error code 1 #3902",https://github.com/erigontech/erigon/pull/3904
erigon,sync,resource_exhaustion,malformed_input,Unrated,B_corroborated,Fix panic in devel,https://github.com/erigontech/erigon/pull/3386
erigon,txpool,other,malicious_p2p_message,Unrated,B_corroborated,Add p2p msg to panic,https://github.com/erigontech/erigon/pull/2861
erigon,rpc,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,no panic on nil filters,https://github.com/erigontech/erigon/pull/2751
erigon,rpc,other,malformed_input,Unrated,C_candidate,"Rpcdaemon: handle ""WaitGroup is reused before previous Wait has return",https://github.com/erigontech/erigon/pull/2619
erigon,opcodes,consensus_divergence,malicious_p2p_message,Unrated,C_candidate,better log panic,https://github.com/erigontech/erigon/pull/2218
erigon,sync,unhandled_error_or_nil,malformed_input,Unrated,C_candidate,Downloader panics on nil parentTd,https://github.com/erigontech/erigon/pull/2148
erigon,sync,unhandled_error_or_nil,malicious_block,Unrated,B_corroborated,[download.v2] Recover from unwind panic,https://github.com/erigontech/erigon/pull/1935
erigon,rpc,unhandled_error_or_nil,malicious_tx,Unrated,C_candidate,rpcdaemon_panic_no_chain_id,https://github.com/erigontech/erigon/pull/1813
erigon,opcodes,consensus_divergence,malicious_p2p_message,Unrated,C_candidate,"Implemented panic handling, graceful shutdown and reporting for all go",https://github.com/erigontech/erigon/pull/2153
erigon,database,unhandled_error_or_nil,internal_only,Unrated,C_candidate,no_panic_be_happy,https://github.com/erigontech/erigon/pull/1586
erigon,sync,missing_bounds_check,peer,Unrated,B_corroborated,panic while Gorly sync,https://github.com/erigontech/erigon/pull/1529
erigon,state-trie,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,fix RegisterEthService nil panic,https://github.com/erigontech/erigon/pull/924
erigon,database,missing_input_validation,malformed_input,Unrated,B_corroborated,fix rpcdaemon panic,https://github.com/erigontech/erigon/pull/1428
erigon,sync,missing_input_validation,malicious_block,Unrated,B_corroborated,Workaround panic in staged sync.,https://github.com/erigontech/erigon/pull/777
erigon,other,unhandled_error_or_nil,internal_only,Unrated,C_candidate,build: don't panic if GOPATH is not set.,https://github.com/erigontech/erigon/pull/106
erigon,state-trie,unhandled_error_or_nil,malformed_input,Unrated,B_corroborated,db/snapshotsync: fix crash due to double close of decompressor,https://github.com/erigontech/erigon/pull/21545
erigon,state-trie,serialization_bug,malformed_input,Unrated,B_corroborated,[SharovBot] ci: install iproute2 in hive Dockerfile to fix --nat=extip,https://github.com/erigontech/erigon/pull/20741
erigon,block-processing,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,caplin: fix BlockCollector crash-loop on gap in collected blocks,https://github.com/erigontech/erigon/pull/20130
erigon,transactions,missing_input_validation,crafted_state,Unrated,B_corroborated,"stagedsync, db: fix TxLookup prune crash with membatch cursor during F",https://github.com/erigontech/erigon/pull/20122
erigon,sync,unhandled_error_or_nil,crafted_state,Unrated,B_corroborated,[r3.4] caplin: fix BlockCollector crash-loop on gap in collected block,https://github.com/erigontech/erigon/pull/20125
erigon,p2p,unhandled_error_or_nil,malicious_p2p_message,Unrated,B_corroborated,p2p: fix nil pointer crash with --nodiscover,https://github.com/erigontech/erigon/pull/19055
erigon,state-trie,race_condition,malformed_input,Unrated,B_corroborated,execution/exec: fix AwaitDrain infinite loop when map worker crashes,https://github.com/erigontech/erigon/pull/19425
erigon,rpc,unhandled_error_or_nil,internal_only,Unrated,C_candidate,HistoricalTraceWorker: log crash err,https://github.com/erigontech/erigon/pull/18242
erigon,txpool,other,malformed_input,Unrated,B_corroborated,rpc: fix txpool_content crash: unknown,https://github.com/erigontech/erigon/pull/18111
erigon,txpool,other,malformed_input,Unrated,B_corroborated,[r3.3] rpc: fix txpool_content crash: unknown,https://github.com/erigontech/erigon/pull/18120
erigon,txpool,other,malformed_input,Unrated,B_corroborated,[r3.2] rpc: fix txpool_content crash: unknown,https://github.com/erigontech/erigon/pull/18119
erigon,other,unhandled_error_or_nil,internal_only,Unrated,B_corroborated,fix crash in integration commands,https://github.com/erigontech/erigon/pull/17061
erigon,state-trie,other,malformed_input,Unrated,B_corroborated,prevent crash in FindMergeRange,https://github.com/erigontech/erigon/pull/15278
erigon,state-trie,other,malformed_input,Unrated,B_corroborated,small fix to prevent crash,https://github.com/erigontech/erigon/pull/15268
erigon,state-trie,improper_state_update,crafted_state,Unrated,B_corroborated,Fix `evm` statetest crash,https://github.com/erigontech/erigon/pull/14449
erigon,rpc,other,malformed_input,Unrated,B_corroborated,integration test: fix qa issue #128: sporadic crash on rpc-integration,https://github.com/erigontech/erigon/pull/15161
erigon,p2p,unhandled_error_or_nil,internal_only,Unrated,C_candidate,Caplin: fixed `node/identity` crashes,https://github.com/erigontech/erigon/pull/14194
erigon,serialization,race_condition,malformed_input,Unrated,B_corroborated,Fix crash when last receipt is not available,https://github.com/erigontech/erigon/pull/14247
erigon,other,other,internal_only,Unrated,C_candidate,Add comprehensive GDB commands for enhanced crash diagnostics output,https://github.com/erigontech/erigon/pull/14130
erigon,sync,other,malformed_input,Unrated,B_corroborated,polygon/sync: Fix `onMilestoneEvent` crash,https://github.com/erigontech/erigon/pull/11568
