id,severity_estimated,severity_source,impact_type,reachability,blast_radius,severity_why
erigon:erigontech-erigon:PR#21558,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious P2P packet can crash all Erigon nodes, affecting ~10-20% of the network."
erigon:erigontech-erigon:PR#21971,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A malformed input triggering a panic in the state-trie indexing logic can crash the client; since it affects a client with >5% market share, it is Medium."
48a92b0746206f82,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single remote P2P packet crashes the Erigon node; given the client's market share, this affects >0.01% but <5% of the network."
e81ff04daa5433fc,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,A remote malicious attestation causing a nil panic or consistency error in a client representing 10-20% of the network would bring down >5% of the network.
erigon:erigontech-erigon:PR#20748,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single remote peer packet can trigger a panic, potentially bringing down >5% of the network due to this client's market share."
erigon:erigontech-erigon:PR#20765,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single remote peer packet can crash the client, affecting a moderate market share (~10-20%), which exceeds the 5% threshold for Medium severity."
erigon:erigontech-erigon:PR#21068,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic crashes the RPC handler via eth_call, which is a local client failure and does not impact network consensus, validator sets, or chain integrity."
erigon:erigontech-erigon:PR#20632,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic is triggered by local database history files and cannot be reached via a remote network packet or transaction.
erigon:erigontech-erigon:PR#20611,not-eligible,llm-estimated,none,local_internal,client_specific,"The bug is located in a benchmark tool (cmd/evm) and only affects local test execution, not the network."
erigon:erigontech-erigon:PR#20600,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in a client-specific RPC endpoint during a local sync state, not in a shared consensus logic that could bring down a significant percentage of the global network."
erigon:erigontech-erigon:PR#20492,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A malformed ENR packet can crash the node via panic, and since the client represents >0.01% of the network, it meets the Low severity threshold for a single-packet DoS."
erigon:erigontech-erigon:PR#20493,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A malformed ENR packet causes a client crash, but it is a client-specific P2P bug and does not affect the global consensus state or >5% of the total network simultaneously."
erigon:erigontech-erigon:PR#19783,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"Remote triggerable panic via API endpoint that crashes the individual node, affecting a small percentage of the total network."
erigon:erigontech-erigon:PR#20198,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs during local database migration and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#19156,not-eligible,llm-estimated,none,local_internal,client_specific,"This is a quality-of-life fix for RPC error decoding that has no impact on consensus, value integrity, or network liveness."
erigon:erigontech-erigon:PR#18927,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A single malicious transaction can trigger a panic in the state transition logic, crashing 10-20% of the network nodes."
erigon:erigontech-erigon:PR#18942,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single remote RPC request to generate a witness can crash the client, and given the 10-20% market share, this would bring down >5% of the network."
erigon:erigontech-erigon:PR#19484,not-eligible,llm-estimated,none,local_internal,client_specific,The fix only modifies test helper functions to improve CI stability and has no impact on production code.
erigon:erigontech-erigon:PR#18734,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A single malformed transaction triggers a panic in a spec-level validation function, crashing all nodes running this client (~10-20% of the network)."
erigon:erigontech-erigon:PR#18552,not-eligible,llm-estimated,none,local_internal,client_specific,The panic only occurs when running benchmarks manually and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#18232,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A malformed API request triggers a panic, allowing a remote attacker to crash nodes running this client (~10-20% of network)."
erigon:erigontech-erigon:PR#17992,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote packet triggering a panic in the beacon handler can take down all instances of this client (~10-20% of the network), which falls into the Medium tier (>5% but <33%)."
erigon:erigontech-erigon:PR#18417,not-eligible,llm-estimated,local_only,local_internal,client_specific,The bug is an internal deadlock triggered by a local panic and cannot be triggered by a single remote network packet or transaction.
erigon:erigontech-erigon:PR#17941,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,client_specific,"The panic occurs in the client-specific torrenting logic used for syncing, not in the shared consensus spec or core network protocol, and does not pose a network-scale threat."
erigon:erigontech-erigon:PR#17565,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A malicious block triggering a panic in the fork-choice logic would crash all instances of this client, affecting 10-20% of the network."
erigon:erigontech-erigon:PR#17749,not-eligible,llm-estimated,local_only,local_internal,client_specific,"The panic is triggered by a local filesystem path name during the execution of a maintenance CLI tool, which cannot be triggered remotely via packet or transaction."
erigon:erigontech-erigon:PR#17053,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in Erigon's proprietary database index implementation, which is not shared across clients and does not trigger via a single remote packet/tx across the network."
erigon:erigontech-erigon:PR#17052,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single transaction triggering this panic would crash all Erigon nodes, which represent >5% but <33% of the network."
erigon:erigontech-erigon:PR#16919,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malformed network packet triggering a panic in Erigon's P2P webseed logic can crash the node, potentially affecting >5% of the network."
erigon:erigontech-erigon:PR#16937,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic is guarded by a debug assertion (ASSERT_ERIGON) and occurs in the RPC layer, which has no network-scale impact."
erigon:erigontech-erigon:PR#16879,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,The panic is client-specific to Erigon's webseed sync logic and does not result in network-scale impact or a consensus split.
erigon:erigontech-erigon:PR#16990,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,A remote attacker can crash Erigon nodes (representing >5% of the network) using a malformed torrent packet.
erigon:erigontech-erigon:PR#16591,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single transaction causing a crafted state can panic Erigon nodes, bringing down ~10-20% of the network."
erigon:erigontech-erigon:PR#17190,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote malformed packet can trigger a panic in the torrent library, crashing the client; since the client has ~10-20% share, this affects >5% of the network."
erigon:erigontech-erigon:PR#16766,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the RPC tracing worker, which is client-specific tooling and does not impact network consensus or stability."
erigon:erigontech-erigon:PR#16908,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the RPC layer and is guarded by a debug assertion, meaning it only affects a local node's RPC availability and has no network-scale impact."
erigon:erigontech-erigon:PR#16135,not-eligible,llm-estimated,none,local_internal,client_specific,"The bug is a race condition occurring only within a test case (TestDump), causing a panic during test cleanup."
erigon:erigontech-erigon:PR#15792,not-eligible,llm-estimated,none,local_internal,client_specific,The fix is located in a test helper file (mock_cl.go) and does not affect production code or network functionality.
erigon:erigontech-erigon:PR#15834,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious P2P packet could crash the client; with 10-20% market share, this brings down >5% but <33% of the network."
erigon:erigontech-erigon:PR#16032,not-eligible,llm-estimated,none,local_internal,client_specific,"Panic occurs in a debug HTTP handler for torrent status, which is client-specific tooling and not reachable via network packets or transactions to impact the chain."
erigon:erigontech-erigon:PR#15460,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during local disk I/O of snapshot files and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#15933,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in the RPC layer and only affects the local node's process, not the network consensus or scale."
erigon:erigontech-erigon:PR#14313,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The crash is triggered by malformed local seed files and is not reachable via a single remote network packet or on-chain transaction.
erigon:erigontech-erigon:PR#14057,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malformed transaction triggering this discard reason would crash the node, bringing down 10-20% of the network."
erigon:erigontech-erigon:PR#14078,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote request triggering a panic crashes the client; since the client has 10-20% market share, it brings down >5% but <33% of the network."
erigon:erigontech-erigon:PR#13715,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"A malicious block can trigger a panic in the validator set buffer logic, crashing ~10-20% of the network, which fits the Medium severity criteria (>5% down)."
erigon:erigontech-erigon:PR#13270,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during internal state pruning logs and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#13355,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix is located entirely within integration command-line tools (cmd/integration), which are not reachable via network packets or transactions."
erigon:erigontech-erigon:PR#13508,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic is triggerable only during local node startup via configuration and cannot be induced by a remote network packet or transaction.
erigon:erigontech-erigon:PR#13849,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic is triggered by internal node state/configuration and cannot be triggered by a single remote network packet or transaction.
erigon:erigontech-erigon:PR#13559,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,A malformed Blob transaction causing a panic in a client with ~10-20% market share would bring down >5% of the network.
erigon:erigontech-erigon:PR#13548,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in JSON unmarshalling (API layer), which is client-specific and does not impact the network consensus or the chain's liveness."
erigon:erigontech-erigon:PR#13551,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malformed JSON packet can crash a node; since the client has ~10-20% share, this exceeds the 5% threshold for Medium severity."
erigon:erigontech-erigon:PR#13333,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the RPC API layer, which does not affect consensus or network-wide liveness."
erigon:erigontech-erigon:PR#13452,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during node startup/configuration and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#12714,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A malicious P2P message triggers a concurrent map panic, crashing the client and affecting 10-20% of the network."
erigon:erigontech-erigon:PR#12533,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs in an archival tool (Antiquary) and is not triggerable by a remote network packet or on-chain transaction.
erigon:erigontech-erigon:PR#12520,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the RPC layer of a client-specific indexing structure and does not affect consensus, chain integrity, or network-wide liveness."
erigon:erigontech-erigon:PR#11956,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in the snapshot sync logic, which is client-specific and not triggerable via a single network packet/transaction to impact the rest of the network."
erigon:erigontech-erigon:PR#12133,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during client-specific staged synchronization/snapshot merging and cannot be triggered by a single remote network packet or on-chain transaction.
erigon:erigontech-erigon:PR#11608,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs in Erigon-specific historical state recovery logic and cannot be triggered by a single remote network packet or transaction.
erigon:erigontech-erigon:PR#11624,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted request triggering a nil pointer dereference in Erigon's historical state reader can crash all Erigon nodes, which constitute >5% of the network."
erigon:erigontech-erigon:PR#11957,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs in internal snapshot synchronization logic and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#11665,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in internal background indexing and initialization logic, not via a remote network packet or transaction."
erigon:erigontech-erigon:PR#11337,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in a client-specific RPC handler, which affects only the local node and does not result in network-scale impact or consensus failure."
erigon:erigontech-erigon:PR#11583,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the HTTP API handler, affecting only the local node's availability and not the network-wide consensus or liveness."
erigon:erigontech-erigon:PR#11495,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic is only triggerable via local configuration of custom chains and cannot be reached by a remote network packet or transaction.
erigon:erigontech-erigon:PR#11419,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in an API handler, which is client-specific tooling/infrastructure and does not impact network consensus or global liveness."
erigon:erigontech-erigon:PR#11496,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic is triggered by local configuration during node restart, not by a remote network packet or transaction."
erigon:erigontech-erigon:PR#10942,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted transaction triggering an unimplemented panic in the database layer would crash Erigon nodes, affecting ~10-20% of the network."
erigon:erigontech-erigon:PR#11629,not-eligible,llm-estimated,liveness_dos,remote_needs_conditions,client_specific,"The panic occurs during a specific sync stage in a client-specific database implementation, not via a single remote packet/tx affecting the live network."
erigon:erigontech-erigon:PR#11260,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,"The panic occurs in an HTTP API response handler, which does not affect consensus or network-scale stability."
erigon:erigontech-erigon:PR#10732,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"Unhandled nil returns in consensus block reading can lead to panics via malicious blocks, potentially taking down the ~10-20% of nodes using this client."
erigon:erigontech-erigon:PR#11009,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote peer can trigger a panic in Erigon's torrent logic, potentially crashing >5% of the network's nodes."
erigon:erigontech-erigon:PR#10885,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs in a CLI utility (capcli) and cannot be triggered by a network packet or transaction.
erigon:erigontech-erigon:PR#10567,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in CLI configuration and integration test commands, which cannot be triggered by a remote network packet or on-chain transaction."
erigon:erigontech-erigon:PR#10411,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted state causing a panic in Erigon's state-trie storage would crash approximately 10-20% of the network, fitting the Medium tier."
erigon:erigontech-erigon:PR#10469,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during the local synchronization process and cannot be triggered by a remote attacker via a single network packet or transaction.
erigon:erigontech-erigon:PR#9763,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs during local client shutdown in a diagnostics provider and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#9618,not-eligible,llm-estimated,none,local_internal,client_specific,"The affected code is located in integration tests, chain generation utilities, and DB reset tools, which are not reachable via network packets or on-chain transactions."
erigon:erigontech-erigon:PR#9552,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in a client-specific JSON-RPC handler, affecting only the local node and not the network-scale consensus or stability."
erigon:erigontech-erigon:PR#9240,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs only during node shutdown, which does not constitute a network-scale impact or a remote DoS of a running node."
erigon:erigontech-erigon:PR#8803,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix is contained entirely within a test file and addresses a resource leak in a test utility, providing no network-scale impact."
erigon:erigontech-erigon:PR#8562,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote transaction causing a panic in the txpool would crash the node; with ~10-20% market share, this brings down >5% of the network."
erigon:erigontech-erigon:PR#8040,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs during startup based on local database state, which is not reachable via a single remote network packet or transaction."
erigon:erigontech-erigon:PR#8042,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A panic during state unwind triggered by a re-org would crash all instances of this client, which represents >5% but <33% of the network."
erigon:erigontech-erigon:PR#7979,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during local genesis/sync configuration and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#8032,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs during the internal node startup sequence and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#7919,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic is triggered by local node configuration and cannot be induced by a remote network packet or on-chain transaction.
erigon:erigontech-erigon:PR#7904,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in the internal Engine-API communication, which is not reachable via a single remote network packet or on-chain transaction."
erigon:erigontech-erigon:PR#7163,not-eligible,llm-estimated,none,local_internal,client_specific,The change is a refactor of internal startup configuration and cannot be triggered by a network packet or transaction.
erigon:erigontech-erigon:PR#6924,not-eligible,upstream-cvss,,,,
erigon:erigontech-erigon:PR#7000,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs in a tracing/debugging function triggered via RPC, which is client-local and does not affect network consensus or stability."
erigon:erigontech-erigon:PR#6941,not-eligible,upstream-cvss,,,,
erigon:erigontech-erigon:PR#6763,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A panic in the engine-api allows a remote trigger to crash the client, and given the ~10-20% market share, this exceeds the 5% threshold for Medium severity."
erigon:erigontech-erigon:PR#6607,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote P2P message can trigger a panic crashing the client; given the ~10-20% market share, this brings down >0.01% of the network."
erigon:erigontech-erigon:PR#6736,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote Engine API call can trigger a concurrent map write panic, crashing the client; given the 10-20% market share, this exceeds the 5% threshold for Medium severity."
erigon:erigontech-erigon:PR#6760,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in a debug RPC method, which affects only the individual node's availability and does not impact network-scale consensus or stability."
erigon:erigontech-erigon:PR#6275,not-eligible,llm-estimated,local_only,local_internal,client_specific,"The panic occurs in an ad-hoc RPC tracing command, affecting only the local RPC server and not the consensus engine or network liveness."
erigon:erigontech-erigon:PR#6072,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,A remote-triggerable panic in a client with 10-20% market share would bring down >5% of the network.
erigon:erigontech-erigon:PR#6029,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The bug is in the AuRa PoA consensus engine, which is not used on the Ethereum Mainnet and thus has no network-scale impact per the bounty definitions."
erigon:erigontech-erigon:PR#5804,not-eligible,llm-estimated,none,local_internal,client_specific,"The change is a dependency update to add a filename to a panic message for better debugging, which has no network-scale impact."
erigon:erigontech-erigon:PR#5931,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted transaction causing a panic in the txpool can take down this specific client, which represents 10-20% of the network, fitting the Medium threshold (>5%)."
erigon:erigontech-erigon:PR#5670,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The crash occurs in an experimental CLI light client feature, which is classified as tooling/CLI and does not impact the main network's consensus or stability."
erigon:erigontech-erigon:PR#5376,not-eligible,llm-estimated,none,local_internal,client_specific,The change is purely a log message modification for user clarity and has no impact on network security or functionality.
erigon:erigontech-erigon:PR#5078,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The issue is internally triggerable within the sealing process and does not result from a remote network packet or transaction.
erigon:erigontech-erigon:PR#5045,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix is located in the integration test/CLI command directory, affecting tooling rather than the network-facing protocol or consensus logic."
erigon:erigontech-erigon:PR#4983,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs in local CLI state commands/downloader config and is not triggerable via a remote network packet or on-chain transaction.
erigon:erigontech-erigon:PR#5043,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic is triggered by a local CLI configuration flag during startup, not by a remote network packet or transaction."
erigon:erigontech-erigon:PR#4620,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,A remote trigger causing a panic in a client with 10-20% share results in a network liveness impact >5%.
erigon:erigontech-erigon:PR#4558,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted remote packet can crash Erigon nodes, affecting a small percentage of the total network without impacting consensus."
erigon:erigontech-erigon:PR#4557,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single malicious P2P packet can crash this client, and since the client has ~10-20% market share, it can bring down >5% but <33% of the network."
erigon:erigontech-erigon:PR#4245,not-eligible,llm-estimated,none,local_internal,client_specific,The change only adds debug context and stack traces to existing panic recovery blocks and does not fix a vulnerability.
erigon:erigontech-erigon:PR#4017,not-eligible,llm-estimated,none,local_internal,client_specific,The panic occurs in a metrics observer tool during local startup and cannot be triggered by a remote packet or transaction.
erigon:erigontech-erigon:PR#3886,not-eligible,llm-estimated,none,local_internal,client_specific,This is a CLI-level change to panic handling for exit codes and has no impact on network consensus or remote accessibility.
erigon:erigontech-erigon:PR#3694,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The panic occurs in a CLI/RPC management tool and does not affect the consensus layer or network stability via a single remote transaction.
erigon:erigontech-erigon:PR#3902,not-eligible,llm-estimated,none,local_internal,client_specific,The change is a quality-of-life improvement for crash logging in the CLI and does not mitigate a remote network-scale attack.
erigon:erigontech-erigon:PR#3904,not-eligible,llm-estimated,none,local_internal,client_specific,"This is a CLI logging/exit code improvement in the main entry point, not triggerable by a remote packet or transaction."
erigon:erigontech-erigon:PR#3386,not-eligible,llm-estimated,local_only,local_internal,client_specific,The panic is triggered by local configuration/startup parameters in the downloader tool and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#2861,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A malicious P2P message causing a panic in the Sentry node would crash the client, affecting ~10-20% of the network."
erigon:erigontech-erigon:PR#2751,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The panic occurs in the RPC layer, meaning only the local node is affected and there is no network-scale impact."
erigon:erigontech-erigon:PR#2619,not-eligible,llm-estimated,none,local_internal,client_specific,"The panic occurs during node shutdown, which is a local operation and does not impact the network via a remote packet or transaction."
erigon:erigontech-erigon:PR#2218,not-eligible,llm-estimated,none,local_internal,client_specific,The change is a refactor of panic logging infrastructure and has no impact on network security or consensus.
erigon:erigontech-erigon:PR#2148,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A remote peer can send malformed header data to trigger a panic in Erigon nodes, which represent >5% of the network market share."
erigon:erigontech-erigon:PR#1935,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"The bug causes a panic during the staged sync unwind process when processing malicious blocks, affecting only Geth nodes in that specific sync state."
erigon:erigontech-erigon:PR#1813,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,RPC layer panics are client-specific and do not impact network consensus or the global state.
erigon:erigontech-erigon:PR#2153,not-eligible,llm-estimated,none,local_internal,client_specific,"The code implements general panic handling and logging for stability, not a fix for a specific network-impactful bug."
erigon:erigontech-erigon:PR#1586,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The issue is internally triggerable within the client's local database/metrics logic and cannot be triggered by a remote network packet or transaction.
erigon:erigontech-erigon:PR#1529,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single remote packet triggers a panic during sync, which could bring down all instances of this client (>5% of network share)."
erigon:erigontech-erigon:PR#924,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The panic occurs during node initialization/startup, which is not reachable via a remote network packet or on-chain transaction."
